"Nama_Startup","Kategori_Layanan","Pendapatan_Tahunan_Miliar_IDR","Biaya_Akuisisi_Pelanggan_Juta_IDR","Nilai_Pelanggan_Juta_IDR","Tingkat_Churn_Persen"
"Startup_1","Keuangan",18.5,5.81,20.06,10.22
"Startup_2","Proyek",2.89,3.41,12.11,14.31
"Startup_3","SDM",3.62,4.8,15.82,13.8
"Startup_4","Pemasaran",10.33,5.02,13.01,11.8
"Startup_5","CRM",2.59,8.46,NA,14.49
"Startup_6","Proyek",1.84,4.37,10.08,15.01
"Startup_7","Keuangan",1.08,9.21,20.11,15.69
"Startup_8","SDM",3.29,3.01,10.48,14.06
"Startup_9","Pemasaran",29.34,11.93,40.95,8.9
"Startup_10","CRM",5.25,4.7,12.01,13.13
"Startup_11","Proyek",1.56,3.8,13.84,15.25
"Startup_12","Keuangan",12.01,6.21,25.1,11.45
"Startup_13","SDM",1.22,7.43,15.2,15.56
"Startup_14","Pemasaran",4.33,3.88,10.11,13.55
"Startup_15","CRM",8.99,6.1,25.9,12.09
"Startup_16","Proyek",15.43,9.51,NA,10.87
"Startup_17","Keuangan",6.21,4.98,15.22,12.78
"Startup_18","SDM",1.01,2.56,6.01,15.76
"Startup_19","Pemasaran",7.43,4.33,18.92,12.45
"Startup_20","CRM",11.92,6.89,20.14,11.49
"Startup_21","Proyek",2.33,3.11,7.43,14.7
"Startup_22","Keuangan",34.98,12.5,45.32,8.45
"Startup_23","SDM",1.99,5.32,12.88,NA
"Startup_24","Pemasaran",1.11,6.21,13.43,15.65
"Startup_25","CRM",4.87,4.55,15.93,13.32
"Startup_26","Proyek",6.88,5.21,18.32,12.59
"Startup_27","Keuangan",2.45,3.89,10.99,14.61
"Startup_28","SDM",14.32,7.89,30.43,11.01
"Startup_29","Pemasaran",1.54,4.54,10.21,15.26
"Startup_30","CRM",2.18,3.21,8.99,14.79
"Startup_31","Proyek",19.87,9.12,33.21,10.01
"Startup_32","Keuangan",3.33,4.11,12.32,14.02
"Startup_33","SDM",5.87,5.32,18.43,12.91
"Startup_34","Pemasaran",1.02,2.89,7.54,15.75
"Startup_35","CRM",1.87,3.43,9.87,15.0
"Startup_36","Proyek",22.43,10.21,40.12,9.54
"Startup_37","Keuangan",4.56,4.87,15.32,13.45
"Startup_38","SDM",2.76,3.98,11.43,14.4
"Startup_39","Pemasaran",1.23,3.21,8.54,15.55
"Startup_40","CRM",7.89,5.76,20.32,12.29
"Startup_41","Proyek",1.45,3.43,9.21,15.35
"Startup_42","Keuangan",16.43,8.99,35.12,10.65
"Startup_43","SDM",3.87,4.54,14.87,13.76
"Startup_44","Pemasaran",1.98,3.65,10.11,14.95
"Startup_45","CRM",2.99,4.12,11.87,14.23
"Startup_46","Proyek",1.12,3.21,8.43,15.64
"Startup_47","Keuangan",1.0,2.87,7.89,15.78
"Startup_48","SDM",25.43,11.21,50.12,9.21
"Startup_49","Pemasaran",3.45,4.32,13.43,13.98
"Startup_50","CRM",1.87,3.54,10.12,15.0
"Startup_51","Proyek",4.32,4.76,15.43,13.56
"Startup_52","Keuangan",1.21,3.21,8.54,15.57
"Startup_53","SDM",1.88,3.54,10.12,14.99
"Startup_54","Pemasaran",1.99,3.65,10.11,14.94
"Startup_55","CRM",2.12,3.76,10.43,14.85
"Startup_56","Proyek",1.43,3.43,9.21,15.36
"Startup_57","Keuangan",1.56,3.54,9.54,15.24
"Startup_58","SDM",1.76,3.65,10.11,15.09
"Startup_59","Pemasaran",1.87,3.76,10.43,14.98
"Startup_60","CRM",1.98,3.87,10.76,14.87
"Startup_61","Proyek",2.09,3.98,11.09,14.76
"Startup_62","Keuangan",2.21,4.09,11.42,14.65
"Startup_63","SDM",2.32,4.2,11.75,14.54
"Startup_64","Pemasaran",2.43,4.31,12.08,14.43
"Startup_65","CRM",2.54,4.42,12.41,14.32
"Startup_66","Proyek",2.65,4.53,12.74,14.21
"Startup_67","Keuangan",2.76,4.64,13.07,14.1
"Startup_68","SDM",2.87,4.75,13.4,13.99
"Startup_69","Pemasaran",2.98,4.86,13.73,13.88
"Startup_70","CRM",3.09,4.97,14.06,13.77
"Startup_71","Proyek",3.2,5.08,14.39,13.66
"Startup_72","Keuangan",3.31,5.19,14.72,13.55
"Startup_73","SDM",3.42,5.3,15.05,13.44
"Startup_74","Pemasaran",3.53,5.41,15.38,13.33
"Startup_75","CRM",3.64,5.52,15.71,13.22
"Startup_76","Proyek",3.75,5.63,16.04,13.11
"Startup_77","Keuangan",3.86,5.74,16.37,13.0
"Startup_78","SDM",3.97,5.85,16.7,12.89
"Startup_79","Pemasaran",4.08,5.96,17.03,12.78
"Startup_80","CRM",4.19,6.07,17.36,12.67
"Startup_81","Proyek",4.3,6.18,17.69,12.56
"Startup_82","Keuangan",4.41,6.29,18.02,12.45
"Startup_83","SDM",4.52,6.4,18.35,12.34
"Startup_84","Pemasaran",4.63,6.51,18.68,12.23
"Startup_85","CRM",4.74,6.62,19.01,12.12
"Startup_86","Proyek",4.85,6.73,19.34,12.01
"Startup_87","Keuangan",4.96,6.84,19.67,11.9
"Startup_88","SDM",5.07,6.95,20.0,11.79
"Startup_89","Pemasaran",5.18,7.06,20.33,11.68
"Startup_90","CRM",5.29,7.17,20.66,11.57
"Startup_91","Proyek",5.4,7.28,20.99,11.46
"Startup_92","Keuangan",5.51,7.39,21.32,11.35
"Startup_93","SDM",5.62,7.5,21.65,11.24
"Startup_94","Pemasaran",5.73,7.61,21.98,11.13
"Startup_95","CRM",5.84,7.72,22.31,11.02
"Startup_96","Proyek",5.95,7.83,22.64,10.91
"Startup_97","Keuangan",6.06,7.94,22.97,10.8
"Startup_98","SDM",6.17,8.05,23.3,10.69
"Startup_99","Pemasaran",6.28,8.16,23.63,10.58
